Date,Home,Away,FTHG,FTAG,1 goal,2 goal,3 goal,4 goal,5 goal,6 goal,7 goal,8 goal,9 goal,10 goal,11 goal,12 goal
2009-08-15,Aston Villa,Wigan Athletic,0,2,"(31, 1, 'Hugo Rodallega')","(56, 1, 'Jason Koumas')",,,,,,,,,,
2009-08-15,Blackburn Rovers,Manchester City,0,2,"(3, 1, 'Emmanuel Adebayor')","(90, 1, 'Stephen Ireland')",,,,,,,,,,
2009-08-15,Bolton Wanderers,Sunderland,0,1,"(5, 1, 'Darren Bent')",,,,,,,,,,,
2009-08-15,Chelsea,Hull City,2,1,"(28, 1, 'Stephen Hunt')","(37, 0, 'Didier Drogba')","(90, 0, 'Didier Drogba')",,,,,,,,,
2009-08-15,Everton,Arsenal,1,6,"(26, 1, ' Denilson')","(37, 1, 'Thomas Vermaelen')","(41, 1, 'William Gallas')","(48, 1, 'Cesc Fabregas')","(69, 1, 'Cesc Fabregas')","(88, 1, ' Eduardo')","(90, 0, 'Louis Saha')",,,,,
2009-08-15,Portsmouth,Fulham,0,1,"(13, 1, 'Bobby Zamora')",,,,,,,,,,,
2009-08-15,Stoke City,Burnley,2,0,"(19, 0, 'Ryan Shawcross')","(33, 0, 'Stephen Jordan')",,,,,,,,,,
2009-08-15,Wolverhampton Wanderers,West Ham United,0,2,"(22, 1, 'Mark Noble')","(69, 1, 'Matthew Upson')",,,,,,,,,,
2009-08-16,Manchester United,Birmingham City,1,0,"(34, 0, 'Wayne Rooney')",,,,,,,,,,,
2009-08-16,Tottenham Hotspur,Liverpool,2,1,"(44, 0, 'Benoit Assou-Ekotto')","(56, 1, 'Steven Gerrard')","(59, 0, 'Sebastien Bassong')",,,,,,,,,
2009-08-18,Sunderland,Chelsea,1,3,"(18, 0, 'Darren Bent')","(52, 1, 'Michael Ballack')","(61, 1, 'Frank Lampard')","(70, 1, ' Deco')",,,,,,,,
2009-08-18,Wigan Athletic,Wolverhampton Wanderers,0,1,"(6, 1, 'Andy Keogh')",,,,,,,,,,,
2009-08-19,Birmingham City,Portsmouth,1,0,"(90, 0, 'James McFadden')",,,,,,,,,,,
2009-08-19,Burnley,Manchester United,1,0,"(19, 0, 'Robbie Blake')",,,,,,,,,,,
2009-08-19,Hull City,Tottenham Hotspur,1,5,"(10, 1, 'Jermain Defoe')","(14, 1, 'Wilson Palacios')","(25, 0, 'Stephen Hunt')","(45, 1, 'Jermain Defoe')","(78, 1, 'Robbie Keane')","(90, 1, 'Jermain Defoe')",,,,,,
2009-08-19,Liverpool,Stoke City,4,0,"(4, 0, 'Fernando Torres')","(45, 0, 'Glen Johnson')","(78, 0, 'Dirk Kuyt')","(90, 0, ""David N'Gog"")",,,,,,,,
2009-08-22,Arsenal,Portsmouth,4,1,"(18, 0, 'Abou Diaby')","(21, 0, 'Abou Diaby')","(51, 0, 'William Gallas')","(68, 0, 'Aaron Ramsey')",,,,,,,,
2009-08-22,Birmingham City,Stoke City,0,0,,,,,,,,,,,,
2009-08-22,Hull City,Bolton Wanderers,1,0,"(61, 0, 'Kamel Ghilas')",,,,,,,,,,,
