Date,Home,Away,FTHG,FTAG,1 goal,2 goal,3 goal,4 goal,5 goal,6 goal,7 goal,8 goal,9 goal,10 goal,11 goal,12 goal
2011-08-13,Blackburn Rovers,Wolverhampton Wanderers,1,2,"(20, 0, 'Mauro Formica')","(22, 1, 'Steven Fletcher')","(47, 1, 'Stephen Ward')",,,,,,,,,
2011-08-13,Fulham,Aston Villa,0,0,,,,,,,,,,,,
2011-08-13,Liverpool,Sunderland,1,1,"(12, 0, 'Luis Suarez')","(57, 1, 'Seb Larsson')",,,,,,,,,,
2011-08-13,Newcastle United,Arsenal,0,0,,,,,,,,,,,,
2011-08-13,Queens Park Rangers,Bolton Wanderers,0,4,"(45, 1, 'Gary Cahill')","(67, 1, 'Danny Gabbidon')","(70, 1, 'Ivan Klasnic')","(79, 1, 'Fabrice Muamba')",,,,,,,,
2011-08-13,Wigan Athletic,Norwich City,1,1,"(21, 0, 'Ben Watson')","(45, 1, 'Wes Hoolahan')",,,,,,,,,,
2011-08-14,Stoke City,Chelsea,0,0,,,,,,,,,,,,
2011-08-14,West Bromwich Albion,Manchester United,1,2,"(13, 1, 'Wayne Rooney')","(37, 0, 'Shane Long')","(81, 1, 'Steven Reid')",,,,,,,,,
2011-08-15,Manchester City,Swansea City,4,0,"(57, 0, 'Edin Dzeko')","(68, 0, 'Sergio Aguero')","(71, 0, 'David Silva')","(90, 0, 'Sergio Aguero')",,,,,,,,
2011-08-20,Arsenal,Liverpool,0,2,"(78, 1, 'Aaron Ramsey')","(90, 1, 'Luis Suarez')",,,,,,,,,,
2011-08-20,Aston Villa,Blackburn Rovers,3,1,"(12, 0, 'Gabby Agbonlahor')","(25, 0, 'Emile Heskey')","(52, 1, 'Morten Gamst Pedersen')","(67, 0, 'Darren Bent')",,,,,,,,
2011-08-20,Chelsea,West Bromwich Albion,2,1,"(4, 1, 'Shane Long')","(53, 0, 'Nicolas Anelka')","(83, 0, 'Florent Malouda')",,,,,,,,,
2011-08-20,Everton,Queens Park Rangers,0,1,"(31, 1, 'Tommy Smith')",,,,,,,,,,,
2011-08-20,Sunderland,Newcastle United,0,1,"(62, 1, 'Ryan Taylor')",,,,,,,,,,,
2011-08-20,Swansea City,Wigan Athletic,0,0,,,,,,,,,,,,
