Date,Home,Away,FTHG,FTAG,1 goal,2 goal,3 goal,4 goal,5 goal,6 goal,7 goal,8 goal,9 goal,10 goal,11 goal,12 goal
2012-08-18,Arsenal,Sunderland,0,0,,,,,,,,,,,,
2012-08-18,Fulham,Norwich City,5,0,"(26, 0, 'Damien Duff')","(41, 0, 'Mladen Petric')","(54, 0, 'Mladen Petric')","(66, 0, 'Alex Kacaniklic')","(87, 0, 'Steve Sidwell')",,,,,,,
2012-08-18,Newcastle United,Tottenham Hotspur,2,1,"(54, 0, 'Demba Ba')","(76, 1, 'Jermain Defoe')","(80, 0, 'Hatem Ben Arfa')",,,,,,,,,
2012-08-18,Queens Park Rangers,Swansea City,0,5,"(8, 1, ' Michu')","(53, 1, ' Michu')","(63, 1, 'Nathan Dyer')","(71, 1, 'Nathan Dyer')","(81, 1, 'Scott Sinclair')",,,,,,,
2012-08-18,Reading,Stoke City,1,1,"(34, 1, 'Michael Kightly')","(90, 0, 'Adam Le Fondre')",,,,,,,,,,
2012-08-18,West Bromwich Albion,Liverpool,3,0,"(43, 0, 'Zoltan Gera')","(64, 0, 'Peter Odemwingie')","(77, 0, 'Romelu Lukaku')",,,,,,,,,
2012-08-18,West Ham United,Aston Villa,1,0,"(40, 0, 'Kevin Nolan')",,,,,,,,,,,
2012-08-19,Manchester City,Southampton,3,2,"(40, 0, 'Carlos Tevez')","(59, 1, 'Rickie Lambert')","(68, 1, 'Steven Davis')","(72, 0, 'Edin Dzeko')","(80, 0, 'Samir Nasri')",,,,,,,
2012-08-19,Wigan Athletic,Chelsea,0,2,"(2, 1, 'Branislav Ivanovic')","(7, 1, 'Frank Lampard')",,,,,,,,,,
2012-08-20,Everton,Manchester United,1,0,"(57, 0, 'Marouane Fellaini')",,,,,,,,,,,
2012-08-22,Chelsea,Reading,4,2,"(18, 0, 'Frank Lampard')","(25, 1, 'Pavel Pogrebnyak')","(29, 1, 'Danny Guthrie')","(69, 0, 'Gary Cahill')","(81, 0, 'Fernando Torres')","(90, 0, 'Branislav Ivanovic')",,,,,,
2012-08-25,Aston Villa,Everton,1,3,"(3, 1, 'Steven Pienaar')","(31, 1, 'Marouane Fellaini')","(43, 1, 'Nikica Jelavic')","(74, 0, 'Karim El Ahmadi')",,,,,,,,
2012-08-25,Chelsea,Newcastle United,2,0,"(22, 0, 'Eden Hazard')","(45, 0, 'Fernando Torres')",,,,,,,,,,
2012-08-25,Manchester United,Fulham,3,2,"(3, 1, 'Damien Duff')","(10, 0, 'Robin Van Persie')","(35, 0, 'Shinji Kagawa')","(41, 0, ' Rafael Da Silva')","(64, 1, 'Nemanja Vidic')",,,,,,,
2012-08-25,Norwich City,Queens Park Rangers,1,1,"(11, 0, 'Simeon Jackson')","(19, 1, 'Bobby Zamora')",,,,,,,,,,
2012-08-25,Southampton,Wigan Athletic,0,2,"(51, 1, 'Franco Di Santo')","(89, 1, 'Arouna Kone')",,,,,,,,,,
2012-08-25,Swansea City,West Ham United,3,0,"(20, 0, 'Angel Rangel')","(29, 0, ' Michu')","(64, 0, 'Danny Graham')",,,,,,,,,
2012-08-25,Tottenham Hotspur,West Bromwich Albion,1,1,"(74, 0, 'Benoit Assou-Ekotto')","(90, 1, 'James Morrison')",,,,,,,,,,
2012-08-26,Liverpool,Manchester City,2,2,"(34, 0, 'Martin Skrtel')","(63, 1, 'Yaya Toure')","(66, 0, 'Luis Suarez')","(80, 1, 'Carlos Tevez')",,,,,,,,
2012-08-26,Stoke City,Arsenal,0,0,,,,,,,,,,,,
2012-09-01,Manchester City,Queens Park Rangers,3,1,"(16, 0, 'Yaya Toure')","(59, 1, 'Bobby Zamora')","(61, 0, 'Edin Dzeko')","(90, 0, 'Carlos Tevez')",,,,,,,,
2012-09-01,Swansea City,Sunderland,2,2,"(40, 1, 'Steven Fletcher')","(45, 0, 'Wayne Routledge')","(45, 1, 'Steven Fletcher')","(66, 0, ' Michu')",,,,,,,,
2012-09-01,Tottenham Hotspur,Norwich City,1,1,"(68, 0, 'Moussa Dembele')","(85, 1, 'Robert Snodgrass')",,,,,,,,,,
2012-09-01,West Bromwich Albion,Everton,2,0,"(65, 0, 'Shane Long')","(82, 0, 'Gareth McAuley')",,,,,,,,,,
2012-09-01,West Ham United,Fulham,3,0,"(1, 0, 'Kevin Nolan')","(29, 0, 'Winston Reid')","(41, 0, 'Matt Taylor')",,,,,,,,,
2012-09-01,Wigan Athletic,Stoke City,2,2,"(5, 0, 'Shaun Maloney')","(40, 1, 'Jon Walters')","(49, 0, 'Franco Di Santo')","(76, 1, 'Peter Crouch')",,,,,,,,
2012-09-02,Liverpool,Arsenal,0,2,"(31, 1, 'Lukas Podolski')","(68, 1, 'Santi Cazorla')",,,,,,,,,,
2012-09-02,Newcastle United,Aston Villa,1,1,"(22, 1, 'Ciaran Clark')","(59, 0, 'Hatem Ben Arfa')",,,,,,,,,,
2012-09-02,Southampton,Manchester United,2,3,"(16, 0, 'Rickie Lambert')","(23, 1, 'Robin Van Persie')","(55, 0, 'Morgan Schneiderlin')","(87, 1, 'Robin Van Persie')","(90, 1, 'Robin Van Persie')",,,,,,,
2012-09-15,Arsenal,Southampton,6,1,"(11, 0, 'Jos Hooiveld')","(31, 0, 'Lukas Podolski')","(35, 0, ' Gervinho')","(37, 0, 'Nathaniel Clyne')","(45, 1, 'Danny Fox')","(71, 0, ' Gervinho')","(88, 0, 'Theo Walcott')",,,,,
2012-09-15,Aston Villa,Swansea City,2,0,"(16, 0, 'Matthew Lowton')","(88, 0, 'Christian Benteke')",,,,,,,,,,
2012-09-15,Fulham,West Bromwich Albion,3,0,"(32, 0, 'Dimitar Berbatov')","(45, 0, 'Dimitar Berbatov')","(89, 0, 'Steve Sidwell')",,,,,,,,,
2012-09-15,Manchester United,Wigan Athletic,4,0,"(51, 0, 'Paul Scholes')","(63, 0, 'Javier Hernandez')","(66, 0, 'Alexander Buttner')","(82, 0, 'Nick Powell')",,,,,,,,
2012-09-15,Norwich City,West Ham United,0,0,,,,,,,,,,,,
2012-09-15,Queens Park Rangers,Chelsea,0,0,,,,,,,,,,,,
2012-09-15,Stoke City,Manchester City,1,1,"(15, 0, 'Peter Crouch')","(35, 1, ' Javi Garcia')",,,,,,,,,,
2012-09-15,Sunderland,Liverpool,1,1,"(29, 0, 'Steven Fletcher')","(71, 1, 'Luis Suarez')",,,,,,,,,,
2012-09-16,Reading,Tottenham Hotspur,1,3,"(18, 1, 'Jermain Defoe')","(71, 1, 'Gareth Bale')","(74, 1, 'Jermain Defoe')","(90, 0, 'Hal Robson-Kanu')",,,,,,,,
2012-09-17,Everton,Newcastle United,2,2,"(15, 0, 'Leighton Baines')","(49, 1, 'Demba Ba')","(88, 0, 'Victor Anichebe')","(90, 1, 'Demba Ba')",,,,,,,,
2012-09-22,Chelsea,Stoke City,1,0,"(85, 0, 'Ashley Cole')",,,,,,,,,,,
