Date,Home,Away,FTHG,FTAG,1 goal,2 goal,3 goal,4 goal,5 goal,6 goal,7 goal,8 goal,9 goal,10 goal,11 goal,12 goal
2015-08-08,AFC Bournemouth,Aston Villa,0,1,"(72, 1, 'Rudy Gestede')",,,,,,,,,,,
2015-08-08,Chelsea,Swansea City,2,2,"(23, 0, ' Oscar')","(29, 1, 'Andre Ayew')","(30, 0, 'Federico Fernandez')","(55, 1, 'Bafetimbi Gomis')",,,,,,,,
2015-08-08,Everton,Watford,2,2,"(14, 1, 'Miguel Layun')","(76, 0, 'Ross Barkley')","(83, 1, 'Odion Ighalo')","(86, 0, 'Arouna Kone')",,,,,,,,
2015-08-08,Leicester City,Sunderland,4,2,"(11, 0, 'Jamie Vardy')","(18, 0, 'Riyad Mahrez')","(25, 0, 'Riyad Mahrez')","(60, 1, 'Jermain Defoe')","(66, 0, 'Marc Albrighton')","(71, 1, 'Steven Fletcher')",,,,,,
2015-08-08,Manchester United,Tottenham Hotspur,1,0,"(22, 0, 'Kyle Walker')",,,,,,,,,,,
2015-08-08,Norwich City,Crystal Palace,1,3,"(39, 1, 'Wilfried Zaha')","(49, 1, 'Damien Delaney')","(69, 0, 'Nathan Redmond')","(90, 1, 'Yohan Cabaye')",,,,,,,,
2015-08-09,Arsenal,West Ham United,0,2,"(43, 1, 'Cheikhou Kouyate')","(57, 1, 'Mauro Zarate')",,,,,,,,,,
2015-08-09,Newcastle United,Southampton,2,2,"(24, 1, 'Graziano Pelle')","(42, 0, 'Papiss Cisse')","(48, 0, 'Georginio Wijnaldum')","(79, 1, 'Shane Long')",,,,,,,,
2015-08-09,Stoke City,Liverpool,0,1,"(86, 1, 'Philippe Coutinho')",,,,,,,,,,,
2015-08-10,West Bromwich Albion,Manchester City,0,3,"(9, 1, 'David Silva')","(24, 1, 'Yaya Toure')","(59, 1, 'Vincent Kompany')",,,,,,,,,
2015-08-14,Aston Villa,Manchester United,0,1,"(29, 1, 'Adnan Januzaj')",,,,,,,,,,,
2015-08-15,Southampton,Everton,0,3,"(22, 1, 'Romelu Lukaku')","(45, 1, 'Romelu Lukaku')","(84, 1, 'Ross Barkley')",,,,,,,,,
2015-08-15,Sunderland,Norwich City,1,3,"(26, 1, 'Russell Martin')","(37, 1, 'Steven Whittaker')","(57, 1, 'Nathan Redmond')","(88, 0, 'Duncan Watmore')",,,,,,,,
2015-08-15,Swansea City,Newcastle United,2,0,"(9, 0, 'Bafetimbi Gomis')","(52, 0, 'Andre Ayew')",,,,,,,,,,
2015-08-15,Tottenham Hotspur,Stoke City,2,2,"(19, 0, 'Eric Dier')","(45, 0, 'Nacer Chadli')","(78, 1, 'Marko Arnautovic')","(83, 1, 'Mame Biram Diouf')",,,,,,,,
2015-08-15,Watford,West Bromwich Albion,0,0,,,,,,,,,,,,
2015-08-15,West Ham United,Leicester City,1,2,"(27, 1, 'Shinji Okazaki')","(38, 1, 'Riyad Mahrez')","(55, 0, 'Dimitri Payet')",,,,,,,,,
2015-08-16,Crystal Palace,Arsenal,1,2,"(16, 1, 'Olivier Giroud')","(28, 0, 'Joel Ward')","(55, 1, 'Damien Delaney')",,,,,,,,,
2015-08-16,Manchester City,Chelsea,3,0,"(31, 0, 'Sergio Aguero')","(79, 0, 'Vincent Kompany')","(85, 0, ' Fernandinho')",,,,,,,,,
2015-08-17,Liverpool,AFC Bournemouth,1,0,"(26, 0, 'Christian Benteke')",,,,,,,,,,,
2015-08-22,Crystal Palace,Aston Villa,2,1,"(71, 0, 'Scott Dann')","(77, 1, 'Pape Souare')","(87, 0, 'Bakary Sako')",,,,,,,,,
2015-08-22,Leicester City,Tottenham Hotspur,1,1,"(81, 1, 'Dele Alli')","(82, 0, 'Riyad Mahrez')",,,,,,,,,,
2015-08-22,Manchester United,Newcastle United,0,0,,,,,,,,,,,,
2015-08-22,Norwich City,Stoke City,1,1,"(11, 1, 'Mame Biram Diouf')","(28, 0, 'Russell Martin')",,,,,,,,,,
2015-08-22,Sunderland,Swansea City,1,1,"(45, 1, 'Bafetimbi Gomis')","(62, 0, 'Jermain Defoe')",,,,,,,,,,
2015-08-22,West Ham United,AFC Bournemouth,3,4,"(11, 1, 'Callum Wilson')","(28, 1, 'Callum Wilson')","(48, 0, 'Mark Noble')","(53, 0, 'Cheikhou Kouyate')","(66, 1, 'Marc Pugh')","(79, 1, 'Callum Wilson')","(82, 0, 'Modibo Maiga')",,,,,
2015-08-23,Everton,Manchester City,0,2,"(60, 1, 'Aleksandar Kolarov')","(88, 1, 'Samir Nasri')",,,,,,,,,,
2015-08-23,Watford,Southampton,0,0,,,,,,,,,,,,
2015-08-23,West Bromwich Albion,Chelsea,2,3,"(20, 1, ' Pedro')","(30, 1, ' Diego Costa')","(35, 0, 'James Morrison')","(42, 1, 'Cesar Azpilicueta')","(59, 0, 'James Morrison')",,,,,,,
2015-08-24,Arsenal,Liverpool,0,0,,,,,,,,,,,,
2015-08-29,AFC Bournemouth,Leicester City,1,1,"(24, 0, 'Callum Wilson')","(86, 1, 'Jamie Vardy')",,,,,,,,,,
2015-08-29,Aston Villa,Sunderland,2,2,"(8, 1, ""Yann M'Vila"")","(11, 0, 'Scott Sinclair')","(41, 0, 'Scott Sinclair')","(52, 1, 'Jeremain Lens')",,,,,,,,
2015-08-29,Chelsea,Crystal Palace,1,2,"(65, 1, 'Bakary Sako')","(79, 0, 'Radamel Falcao')","(81, 1, 'Joel Ward')",,,,,,,,,
2015-08-29,Liverpool,West Ham United,0,3,"(3, 1, 'Manuel Lanzini')","(29, 1, 'Mark Noble')","(90, 1, 'Diafra Sakho')",,,,,,,,,
2015-08-29,Manchester City,Watford,2,0,"(47, 0, 'Raheem Sterling')","(56, 0, ' Fernandinho')",,,,,,,,,,
2015-08-29,Newcastle United,Arsenal,0,1,"(52, 1, 'Fabricio Coloccini')",,,,,,,,,,,
2015-08-29,Stoke City,West Bromwich Albion,0,1,"(45, 1, 'Salomon Rondon')",,,,,,,,,,,
2015-08-29,Tottenham Hotspur,Everton,0,0,,,,,,,,,,,,
2015-08-30,Southampton,Norwich City,3,0,"(45, 0, 'Graziano Pelle')","(64, 0, 'Dusan Tadic')","(67, 0, 'Dusan Tadic')",,,,,,,,,
2015-08-30,Swansea City,Manchester United,2,1,"(48, 1, 'Juan Mata')","(61, 0, 'Andre Ayew')","(66, 0, 'Bafetimbi Gomis')",,,,,,,,,
2015-09-12,Arsenal,Stoke City,2,0,"(31, 0, 'Theo Walcott')","(85, 0, 'Olivier Giroud')",,,,,,,,,,
2015-09-12,Crystal Palace,Manchester City,0,1,"(90, 1, 'Kelechi Iheanacho')",,,,,,,,,,,
2015-09-12,Everton,Chelsea,3,1,"(17, 0, 'Steven Naismith')","(22, 0, 'Steven Naismith')","(36, 1, 'Nemanja Matic')","(82, 0, 'Steven Naismith')",,,,,,,,
2015-09-12,Manchester United,Liverpool,3,1,"(49, 0, 'Daley Blind')","(70, 0, ' Ander Herrera')","(84, 1, 'Christian Benteke')","(86, 0, 'Anthony Martial')",,,,,,,,
2015-09-12,Norwich City,AFC Bournemouth,3,1,"(35, 0, 'Cameron Jerome')","(52, 0, 'Wes Hoolahan')","(67, 0, 'Matt Jarvis')","(81, 1, 'Steve Cook')",,,,,,,,
2015-09-12,Watford,Swansea City,1,0,"(59, 0, 'Odion Ighalo')",,,,,,,,,,,
2015-09-12,West Bromwich Albion,Southampton,0,0,,,,,,,,,,,,
2015-09-13,Leicester City,Aston Villa,3,2,"(39, 1, 'Jack Grealish')","(63, 1, ' Carles Gil')","(72, 0, 'Ritchie De Laet')","(82, 0, 'Jamie Vardy')","(89, 0, 'Nathan Dyer')",,,,,,,
2015-09-13,Sunderland,Tottenham Hotspur,0,1,"(82, 1, 'Ryan Mason')",,,,,,,,,,,
2015-09-14,West Ham United,Newcastle United,2,0,"(9, 0, 'Dimitri Payet')","(48, 0, 'Dimitri Payet')",,,,,,,,,,
2015-09-19,AFC Bournemouth,Sunderland,2,0,"(4, 0, 'Callum Wilson')","(9, 0, 'Matt Ritchie')",,,,,,,,,,
2015-09-19,Aston Villa,West Bromwich Albion,0,1,"(39, 1, 'Saido Berahino')",,,,,,,,,,,
2015-09-19,Chelsea,Arsenal,2,0,"(53, 0, 'Kurt Zouma')","(90, 0, 'Calum Chambers')",,,,,,,,,,
2015-09-19,Manchester City,West Ham United,1,2,"(6, 1, 'Victor Moses')","(31, 1, 'Diafra Sakho')","(45, 0, 'Kevin De Bruyne')",,,,,,,,,
2015-09-19,Newcastle United,Watford,1,2,"(10, 1, 'Odion Ighalo')","(28, 1, 'Odion Ighalo')","(62, 0, 'Daryl Janmaat')",,,,,,,,,
2015-09-19,Stoke City,Leicester City,2,2,"(13, 0, 'Bojan Krkic')","(20, 0, 'Jon Walters')","(51, 1, 'Riyad Mahrez')","(69, 1, 'Jamie Vardy')",,,,,,,,
2015-09-19,Swansea City,Everton,0,0,,,,,,,,,,,,
2015-09-20,Liverpool,Norwich City,1,1,"(48, 0, 'Danny Ings')","(61, 1, 'Russell Martin')",,,,,,,,,,
2015-09-20,Southampton,Manchester United,2,3,"(13, 0, 'Graziano Pelle')","(34, 1, 'Anthony Martial')","(50, 1, 'Anthony Martial')","(68, 1, 'Juan Mata')","(86, 0, 'Graziano Pelle')",,,,,,,
2015-09-20,Tottenham Hotspur,Crystal Palace,1,0,"(68, 0, 'SON Heung-Min')",,,,,,,,,,,
2015-09-26,Leicester City,Arsenal,2,5,"(13, 0, 'Jamie Vardy')","(18, 1, 'Theo Walcott')","(33, 1, 'Alexis Sanchez')","(57, 1, 'Alexis Sanchez')","(81, 1, 'Alexis Sanchez')","(89, 0, 'Jamie Vardy')","(90, 1, 'Olivier Giroud')",,,,,
2015-09-26,Liverpool,Aston Villa,3,2,"(2, 0, 'James Milner')","(59, 0, 'Daniel Sturridge')","(66, 1, 'Rudy Gestede')","(67, 0, 'Daniel Sturridge')","(71, 1, 'Rudy Gestede')",,,,,,,
2015-09-26,Manchester United,Sunderland,3,0,"(45, 0, 'Memphis Depay')","(46, 0, 'Wayne Rooney')","(90, 0, 'Juan Mata')",,,,,,,,,
2015-09-26,Newcastle United,Chelsea,2,2,"(42, 0, 'Ayoze Perez')","(60, 0, 'Georginio Wijnaldum')","(79, 1, ' Ramires')","(86, 1, ' Willian')",,,,,,,,
2015-09-26,Southampton,Swansea City,3,1,"(11, 0, 'Virgil Van Dijk')","(54, 0, 'Dusan Tadic')","(61, 0, 'Sadio Mane')","(83, 1, 'Gylfi Sigurdsson')",,,,,,,,
2015-09-26,Stoke City,AFC Bournemouth,2,1,"(32, 0, 'Jon Walters')","(76, 1, 'Dan Gosling')","(83, 0, 'Mame Biram Diouf')",,,,,,,,,
2015-09-26,Tottenham Hotspur,Manchester City,4,1,"(25, 1, 'Kevin De Bruyne')","(45, 0, 'Eric Dier')","(50, 0, 'Toby Alderweireld')","(61, 0, 'Harry Kane')","(79, 0, 'Erik Lamela')",,,,,,,
2015-09-26,West Ham United,Norwich City,2,2,"(9, 1, 'Robbie Brady')","(33, 0, 'Diafra Sakho')","(83, 1, 'Nathan Redmond')","(90, 0, 'Cheikhou Kouyate')",,,,,,,,
2015-09-27,Watford,Crystal Palace,0,1,"(71, 1, 'Yohan Cabaye')",,,,,,,,,,,
2015-09-28,West Bromwich Albion,Everton,-1,-1,,,,,,,,,,,,
