Date,Home,Away,FTHG,FTAG,1 goal,2 goal,3 goal,4 goal,5 goal,6 goal,7 goal,8 goal,9 goal,10 goal,11 goal,12 goal
2010-08-14,Aston Villa,West Ham United,3,0,"(15, 0, 'Stewart Downing')","(40, 0, 'Stilian Petrov')","(66, 0, 'James Milner')",,,,,,,,,
2010-08-14,Blackburn Rovers,Everton,1,0,"(14, 0, 'Nikola Kalinic')",,,,,,,,,,,
2010-08-14,Bolton Wanderers,Fulham,0,0,,,,,,,,,,,,
2010-08-14,Chelsea,West Bromwich Albion,6,0,"(6, 0, 'Florent Malouda')","(45, 0, 'Didier Drogba')","(55, 0, 'Didier Drogba')","(63, 0, 'Frank Lampard')","(68, 0, 'Didier Drogba')","(90, 0, 'Florent Malouda')",,,,,,
2010-08-14,Sunderland,Birmingham City,2,2,"(24, 0, 'Darren Bent')","(56, 0, 'Stephen Carr')","(77, 1, 'Scott Dann')","(88, 1, 'Liam Ridgewell')",,,,,,,,
2010-08-14,Tottenham Hotspur,Manchester City,0,0,,,,,,,,,,,,
2010-08-14,Wigan Athletic,Blackpool,0,4,"(16, 1, 'Gary Taylor-Fletcher')","(38, 1, 'Marlon Harewood')","(43, 1, 'Marlon Harewood')","(75, 1, 'Alex Baptiste')",,,,,,,,
2010-08-14,Wolverhampton Wanderers,Stoke City,2,1,"(37, 0, 'David Jones')","(39, 0, 'Steven Fletcher')","(55, 1, 'Abdoulaye Faye')",,,,,,,,,
2010-08-15,Liverpool,Arsenal,1,1,"(46, 0, ""David N'Gog"")","(90, 1, 'Pepe Reina')",,,,,,,,,,
2010-08-16,Manchester United,Newcastle United,3,0,"(33, 0, 'Dimitar Berbatov')","(41, 0, 'Darren Fletcher')","(85, 0, 'Ryan Giggs')",,,,,,,,,
