Date,Home,Away,FTHG,FTAG,1 goal,2 goal,3 goal,4 goal,5 goal,6 goal,7 goal,8 goal,9 goal,10 goal,11 goal,12 goal
2008-08-16,Arsenal,West Bromwich Albion,1,0,"(4, 0, 'Samir Nasri')",,,,,,,,,,,
2008-08-16,Bolton Wanderers,Stoke City,3,1,"(34, 0, 'Gretar Steinsson')","(41, 0, 'Kevin Davies')","(45, 0, 'Johann Elmander')","(90, 1, 'Ricardo Fuller')",,,,,,,,
2008-08-16,Everton,Blackburn Rovers,2,3,"(22, 1, 'David Dunn')","(45, 0, 'Mikel Arteta')","(64, 0, 'Ayegbeni Yakubu')","(66, 1, 'Roque Santa Cruz')","(90, 1, 'Andre Ooijer')",,,,,,,
2008-08-16,Hull City,Fulham,2,1,"(8, 1, 'SEOL Ki-Hyeon')","(22, 0, ' Geovanni')","(81, 0, 'Caleb Folan')",,,,,,,,,
2008-08-16,Middlesbrough,Tottenham Hotspur,2,1,"(71, 0, 'David Wheater')","(86, 0, ' Mido')","(90, 1, 'Robert Huth')",,,,,,,,,
2008-08-16,Sunderland,Liverpool,0,1,"(83, 1, 'Fernando Torres')",,,,,,,,,,,
2008-08-16,West Ham United,Wigan Athletic,2,1,"(3, 0, 'Dean Ashton')","(10, 0, 'Dean Ashton')","(47, 1, 'Amr Zaki')",,,,,,,,,
2008-08-17,Aston Villa,Manchester City,4,2,"(47, 0, 'John Carew')","(64, 1, ' Elano')","(69, 0, 'Gabby Agbonlahor')","(74, 0, 'Gabby Agbonlahor')","(76, 0, 'Gabby Agbonlahor')","(89, 1, 'Vedran Corluka')",,,,,,
2008-08-17,Chelsea,Portsmouth,4,0,"(12, 0, 'Joe Cole')","(26, 0, 'Nicolas Anelka')","(45, 0, 'Frank Lampard')","(89, 0, ' Deco')",,,,,,,,
2008-08-17,Manchester United,Newcastle United,1,1,"(22, 1, 'Obafemi Martins')","(24, 0, 'Darren Fletcher')",,,,,,,,,,
2008-08-23,Blackburn Rovers,Hull City,1,1,"(38, 0, 'Jason Roberts')","(40, 1, 'Richard Garcia')",,,,,,,,,,
2008-08-23,Fulham,Arsenal,1,0,"(21, 0, 'Brede Hangeland')",,,,,,,,,,,
2008-08-23,Liverpool,Middlesbrough,2,1,"(70, 1, ' Mido')","(86, 0, 'Emanuel Pogatetz')","(90, 0, 'Steven Gerrard')",,,,,,,,,
2008-08-23,Newcastle United,Bolton Wanderers,1,0,"(71, 0, 'Michael Owen')",,,,,,,,,,,
2008-08-23,Stoke City,Aston Villa,3,2,"(30, 0, 'Liam Lawrence')","(63, 1, 'John Carew')","(80, 0, 'Ricardo Fuller')","(84, 1, 'Martin Laursen')","(90, 0, 'Mamady Sidibe')",,,,,,,
2008-08-23,Tottenham Hotspur,Sunderland,1,2,"(55, 1, 'Kieran Richardson')","(73, 0, 'Jermaine Jenas')","(83, 1, 'Djibril Cisse')",,,,,,,,,
2008-08-23,West Bromwich Albion,Everton,1,2,"(65, 1, 'Leon Osman')","(76, 1, 'Ayegbeni Yakubu')","(89, 0, 'Roman Bednar')",,,,,,,,,
2008-08-24,Manchester City,West Ham United,3,0,"(65, 0, 'Daniel Sturridge')","(70, 0, ' Elano')","(76, 0, ' Elano')",,,,,,,,,
2008-08-24,Wigan Athletic,Chelsea,0,1,"(4, 1, ' Deco')",,,,,,,,,,,
2008-08-25,Portsmouth,Manchester United,0,1,"(32, 1, 'Darren Fletcher')",,,,,,,,,,,
2008-08-30,Arsenal,Newcastle United,3,0,"(18, 0, 'Robin Van Persie')","(41, 0, 'Robin Van Persie')","(59, 0, ' Denilson')",,,,,,,,,
2008-08-30,Bolton Wanderers,West Bromwich Albion,0,0,,,,,,,,,,,,
2008-08-30,Everton,Portsmouth,0,3,"(12, 1, 'Jermain Defoe')","(40, 1, 'Glen Johnson')","(69, 1, 'Peter Crouch')",,,,,,,,,
2008-08-30,Hull City,Wigan Athletic,0,5,"(5, 1, 'Sam Ricketts')","(13, 1, 'Antonio Valencia')","(63, 1, 'Amr Zaki')","(68, 1, 'Emile Heskey')","(81, 1, 'Amr Zaki')",,,,,,,
2008-08-30,Middlesbrough,Stoke City,2,1,"(37, 0, 'Afonso Alves')","(71, 1, 'Justin Hoyte')","(85, 0, ' Tuncay Sanli')",,,,,,,,,
2008-08-30,West Ham United,Blackburn Rovers,4,1,"(12, 0, 'Calum Davenport')","(20, 0, 'Christopher Samba')","(22, 1, 'Jason Roberts')","(89, 0, 'Carlton Cole')","(90, 0, 'Craig Bellamy')",,,,,,,
2008-08-31,Aston Villa,Liverpool,0,0,,,,,,,,,,,,
2008-08-31,Chelsea,Tottenham Hotspur,1,1,"(28, 0, 'Juliano Belletti')","(45, 1, 'Darren Bent')",,,,,,,,,,
2008-08-31,Sunderland,Manchester City,0,3,"(45, 1, 'Stephen Ireland')","(50, 1, 'Shaun Wright-Phillips')","(58, 1, 'Shaun Wright-Phillips')",,,,,,,,,
2008-09-13,Blackburn Rovers,Arsenal,0,4,"(8, 1, 'Robin Van Persie')","(45, 1, 'Emmanuel Adebayor')","(81, 1, 'Emmanuel Adebayor')","(90, 1, 'Emmanuel Adebayor')",,,,,,,,
2008-09-13,Fulham,Bolton Wanderers,2,1,"(15, 0, 'Zoltan Gera')","(41, 0, 'Bobby Zamora')","(82, 1, 'Kevin Davies')",,,,,,,,,
2008-09-13,Liverpool,Manchester United,2,1,"(3, 1, 'Carlos Tevez')","(27, 0, 'Wes Brown')","(77, 0, 'Ryan Babel')",,,,,,,,,
2008-09-13,Manchester City,Chelsea,1,3,"(13, 0, ' Robinho')","(16, 1, 'Ricardo Carvalho')","(53, 1, 'Frank Lampard')","(69, 1, 'Nicolas Anelka')",,,,,,,,
2008-09-13,Newcastle United,Hull City,1,2,"(34, 1, 'Marlon King')","(55, 1, 'Marlon King')","(82, 0, ' Xisco')",,,,,,,,,
2008-09-13,Portsmouth,Middlesbrough,2,1,"(24, 1, ' Mido')","(59, 0, 'Jermain Defoe')","(86, 0, 'Jermain Defoe')",,,,,,,,,
2008-09-13,West Bromwich Albion,West Ham United,3,2,"(3, 0, 'James Morrison')","(29, 1, 'Mark Noble')","(35, 1, 'Lucas Neill')","(37, 0, 'Roman Bednar')","(83, 0, 'Chris Brunt')",,,,,,,
2008-09-13,Wigan Athletic,Sunderland,1,1,"(15, 1, 'Titus Bramble')","(78, 0, 'Amr Zaki')",,,,,,,,,,
2008-09-14,Stoke City,Everton,2,3,"(41, 1, 'Ayegbeni Yakubu')","(51, 1, 'Victor Anichebe')","(55, 0, 'Seyi Olofinjana')","(63, 0, 'Phil Jagielka')","(77, 1, 'Tim Cahill')",,,,,,,
2008-09-15,Tottenham Hotspur,Aston Villa,1,2,"(5, 1, 'Nigel Reo-Coker')","(54, 1, 'Ashley Young')","(87, 0, 'Darren Bent')",,,,,,,,,
2008-09-20,Blackburn Rovers,Fulham,1,0,"(84, 0, 'Matt Derbyshire')",,,,,,,,,,,
2008-09-20,Bolton Wanderers,Arsenal,1,3,"(14, 0, 'Kevin Davies')","(26, 1, 'Emmanuel Eboue')","(27, 1, 'Nicklas Bendtner')","(87, 1, ' Denilson')",,,,,,,,
2008-09-20,Liverpool,Stoke City,0,0,,,,,,,,,,,,
